file,date,latitude,longitude,ocean,profiler_type,institution,date_update,parsed_date,download_url
coriolis/2903956/profiles/R2903956_011.nc,20250503224820,23.782,60.41,I,844,IF,20250503232734,2025-05-03 22:48:20,https://data-argo.ifremer.fr/dac/coriolis/2903956/profiles/R2903956_011.nc
aoml/1902762/profiles/R1902762_009.nc,20250704054140,-3.237,64.919,I,869,AO,20250704070157,2025-07-04 05:41:40,https://data-argo.ifremer.fr/dac/aoml/1902762/profiles/R1902762_009.nc
incois/7902249/profiles/R7902249_022.nc,20250806141624,11.233,86.017,I,844,IN,20250807003216,2025-08-06 14:16:24,https://data-argo.ifremer.fr/dac/incois/7902249/profiles/R7902249_022.nc
aoml/1901805/profiles/D1901805_293.nc,20241124191158,-18.24,54.708,I,863,AO,20250806141447,2024-11-24 19:11:58,https://data-argo.ifremer.fr/dac/aoml/1901805/profiles/D1901805_293.nc
coriolis/4903660/profiles/R4903660_085.nc,20250207065717,14.891,59.961,I,834,IF,20250325105729,2025-02-07 06:57:17,https://data-argo.ifremer.fr/dac/coriolis/4903660/profiles/R4903660_085.nc
aoml/1902457/profiles/D1902457_053.nc,20241104095351,6.219,67.64,I,869,AO,20250828124505,2024-11-04 09:53:51,https://data-argo.ifremer.fr/dac/aoml/1902457/profiles/D1902457_053.nc
incois/6990615/profiles/D6990615_028.nc,20241026140922,-7.25,74.05,I,844,IN,20250526044714,2024-10-26 14:09:22,https://data-argo.ifremer.fr/dac/incois/6990615/profiles/D6990615_028.nc
aoml/1901843/profiles/D1901843_295.nc,20241113123536,-17.467,57.951,I,853,AO,20250528195452,2024-11-13 12:35:36,https://data-argo.ifremer.fr/dac/aoml/1901843/profiles/D1901843_295.nc
incois/7902251/profiles/R7902251_008.nc,20250319135826,10.0,86.117,I,844,IN,20250320093434,2025-03-19 13:58:26,https://data-argo.ifremer.fr/dac/incois/7902251/profiles/R7902251_008.nc
aoml/5906537/profiles/R5906537_098.nc,20250713180725,-10.035,57.914,I,869,AO,20250713223159,2025-07-13 18:07:25,https://data-argo.ifremer.fr/dac/aoml/5906537/profiles/R5906537_098.nc
